job_id,title,normalized_role,company_name,city,region,contract_type,experience_level,work_mode,date_posted,source,dataset_kind
5c3df77db4c22c42f5787e30a3e0be9e1b74079fe793b70bd2168f359fc6ea14,Data Analyst Junior,data_analyst,Aster Data,Paris,Île-de-France,permanent,entry_level,hybrid,2026-05-01,synthetic_portfolio_demo,synthetic
ce4edbc22912ce7e9dcfd89a835ea5a5bb0905718ad1bc899eb7dc697a0685f9,Analyste Data,data_analyst,Northstar Tech,Toulouse,Occitanie,permanent,entry_level,on_site,2026-05-08,synthetic_portfolio_demo,synthetic
aafda05c174f34af324f77cfe9c18a921394f212af9a81c2e28ce7f0cdaa3e0b,Junior Data Analyst,data_analyst,Aster Data,Rennes,Bretagne,apprenticeship,entry_level,hybrid,2026-05-15,synthetic_portfolio_demo,synthetic
c230c9cbcd8e54fd585168521b1eb82763c56e61bb3d0028cbf22d8d79bf5e4f,Data Analyst Junior,data_analyst,Northstar Tech,Lille,Hauts-de-France,internship,internship,on_site,2026-05-22,synthetic_portfolio_demo,synthetic
60dd508056f13c58f2da75482760249c37deb7c8912ed22abe159dcec701f9ce,Analyste Data,data_analyst,Aster Data,Nantes,Pays de la Loire,fixed_term,entry_level,hybrid,2026-05-29,synthetic_portfolio_demo,synthetic
8de623e5550eb3a4c8b70559e748b94c313b70320f4ea8ebdfd4a5decd97f9e9,Junior Data Analyst,data_analyst,Northstar Tech,Lyon,Auvergne-Rhône-Alpes,permanent,entry_level,on_site,2026-06-05,synthetic_portfolio_demo,synthetic
b6f57fb3e518ae8e84bfad00237a1b6e8e10cef0d9c7d53eff5da0486a7dbd00,Data Analyst Junior,data_analyst,Aster Data,Bordeaux,Nouvelle-Aquitaine,permanent,entry_level,hybrid,2026-06-12,synthetic_portfolio_demo,synthetic
577d26cf3bcf64f22d069f64b7c09b88af80e9e3517abefa103e85df0f7fd6a1,Analyste Data,data_analyst,Northstar Tech,Paris,Île-de-France,apprenticeship,entry_level,on_site,2026-06-19,synthetic_portfolio_demo,synthetic
e39a2de8ffe2eef2c128de0a0f3591adad2ad9147cc072522c1552e69bcbbb8b,Junior Data Analyst,data_analyst,Aster Data,Toulouse,Occitanie,internship,internship,hybrid,2026-06-26,synthetic_portfolio_demo,synthetic
15bc44132e0f0c66fbbe825124a0e8fd8ed3e090e6c3275fede718e1c6af4694,Data Analyst Junior,data_analyst,Northstar Tech,Rennes,Bretagne,fixed_term,entry_level,on_site,2026-07-03,synthetic_portfolio_demo,synthetic
d0e054947a44018ca4b42a0656cae028987e6b6c18b9a3f900ca6332399e0ec6,Analyste Data,data_analyst,Aster Data,Lille,Hauts-de-France,permanent,entry_level,hybrid,2026-07-10,synthetic_portfolio_demo,synthetic
fcdab08485b6d8bd4a679f1a2ea01e3351a037cef12c472a1ef8e18ce2ec9ed2,Junior Data Analyst,data_analyst,Northstar Tech,Nantes,Pays de la Loire,permanent,entry_level,on_site,2026-07-17,synthetic_portfolio_demo,synthetic
7d723d3247b065d4dd02fa0d2b0a1d172a1d72142aa906141b17dd0412922f30,BI Analyst Junior,bi_analyst,BluePeak Systems,Lille,Hauts-de-France,internship,internship,hybrid,2026-07-24,synthetic_portfolio_demo,synthetic
