job_id,skill_slug,skill_name,skill_category
5c3df77db4c22c42f5787e30a3e0be9e1b74079fe793b70bd2168f359fc6ea14,sql,SQL,programming_language
5c3df77db4c22c42f5787e30a3e0be9e1b74079fe793b70bd2168f359fc6ea14,power_bi,Power BI,bi_tool
5c3df77db4c22c42f5787e30a3e0be9e1b74079fe793b70bd2168f359fc6ea14,azure,Microsoft Azure,cloud
ce4edbc22912ce7e9dcfd89a835ea5a5bb0905718ad1bc899eb7dc697a0685f9,python,Python,programming_language
ce4edbc22912ce7e9dcfd89a835ea5a5bb0905718ad1bc899eb7dc697a0685f9,sql,SQL,programming_language
ce4edbc22912ce7e9dcfd89a835ea5a5bb0905718ad1bc899eb7dc697a0685f9,power_bi,Power BI,bi_tool
ce4edbc22912ce7e9dcfd89a835ea5a5bb0905718ad1bc899eb7dc697a0685f9,git,Git,version_control
aafda05c174f34af324f77cfe9c18a921394f212af9a81c2e28ce7f0cdaa3e0b,git,Git,version_control
aafda05c174f34af324f77cfe9c18a921394f212af9a81c2e28ce7f0cdaa3e0b,python,Python,programming_language
aafda05c174f34af324f77cfe9c18a921394f212af9a81c2e28ce7f0cdaa3e0b,power_bi,Power BI,bi_tool
aafda05c174f34af324f77cfe9c18a921394f212af9a81c2e28ce7f0cdaa3e0b,azure,Microsoft Azure,cloud
aafda05c174f34af324f77cfe9c18a921394f212af9a81c2e28ce7f0cdaa3e0b,excel,Excel,productivity
c230c9cbcd8e54fd585168521b1eb82763c56e61bb3d0028cbf22d8d79bf5e4f,sql,SQL,programming_language
c230c9cbcd8e54fd585168521b1eb82763c56e61bb3d0028cbf22d8d79bf5e4f,git,Git,version_control
c230c9cbcd8e54fd585168521b1eb82763c56e61bb3d0028cbf22d8d79bf5e4f,tableau,Tableau,bi_tool
c230c9cbcd8e54fd585168521b1eb82763c56e61bb3d0028cbf22d8d79bf5e4f,azure,Microsoft Azure,cloud
c230c9cbcd8e54fd585168521b1eb82763c56e61bb3d0028cbf22d8d79bf5e4f,power_bi,Power BI,bi_tool
c230c9cbcd8e54fd585168521b1eb82763c56e61bb3d0028cbf22d8d79bf5e4f,python,Python,programming_language
60dd508056f13c58f2da75482760249c37deb7c8912ed22abe159dcec701f9ce,azure,Microsoft Azure,cloud
60dd508056f13c58f2da75482760249c37deb7c8912ed22abe159dcec701f9ce,git,Git,version_control
60dd508056f13c58f2da75482760249c37deb7c8912ed22abe159dcec701f9ce,tableau,Tableau,bi_tool
8de623e5550eb3a4c8b70559e748b94c313b70320f4ea8ebdfd4a5decd97f9e9,tableau,Tableau,bi_tool
8de623e5550eb3a4c8b70559e748b94c313b70320f4ea8ebdfd4a5decd97f9e9,excel,Excel,productivity
8de623e5550eb3a4c8b70559e748b94c313b70320f4ea8ebdfd4a5decd97f9e9,sql,SQL,programming_language
8de623e5550eb3a4c8b70559e748b94c313b70320f4ea8ebdfd4a5decd97f9e9,python,Python,programming_language
b6f57fb3e518ae8e84bfad00237a1b6e8e10cef0d9c7d53eff5da0486a7dbd00,tableau,Tableau,bi_tool
b6f57fb3e518ae8e84bfad00237a1b6e8e10cef0d9c7d53eff5da0486a7dbd00,sql,SQL,programming_language
b6f57fb3e518ae8e84bfad00237a1b6e8e10cef0d9c7d53eff5da0486a7dbd00,python,Python,programming_language
b6f57fb3e518ae8e84bfad00237a1b6e8e10cef0d9c7d53eff5da0486a7dbd00,azure,Microsoft Azure,cloud
b6f57fb3e518ae8e84bfad00237a1b6e8e10cef0d9c7d53eff5da0486a7dbd00,excel,Excel,productivity
577d26cf3bcf64f22d069f64b7c09b88af80e9e3517abefa103e85df0f7fd6a1,sql,SQL,programming_language
577d26cf3bcf64f22d069f64b7c09b88af80e9e3517abefa103e85df0f7fd6a1,azure,Microsoft Azure,cloud
577d26cf3bcf64f22d069f64b7c09b88af80e9e3517abefa103e85df0f7fd6a1,git,Git,version_control
577d26cf3bcf64f22d069f64b7c09b88af80e9e3517abefa103e85df0f7fd6a1,excel,Excel,productivity
577d26cf3bcf64f22d069f64b7c09b88af80e9e3517abefa103e85df0f7fd6a1,python,Python,programming_language
577d26cf3bcf64f22d069f64b7c09b88af80e9e3517abefa103e85df0f7fd6a1,tableau,Tableau,bi_tool
e39a2de8ffe2eef2c128de0a0f3591adad2ad9147cc072522c1552e69bcbbb8b,power_bi,Power BI,bi_tool
e39a2de8ffe2eef2c128de0a0f3591adad2ad9147cc072522c1552e69bcbbb8b,python,Python,programming_language
e39a2de8ffe2eef2c128de0a0f3591adad2ad9147cc072522c1552e69bcbbb8b,sql,SQL,programming_language
15bc44132e0f0c66fbbe825124a0e8fd8ed3e090e6c3275fede718e1c6af4694,tableau,Tableau,bi_tool
15bc44132e0f0c66fbbe825124a0e8fd8ed3e090e6c3275fede718e1c6af4694,excel,Excel,productivity
15bc44132e0f0c66fbbe825124a0e8fd8ed3e090e6c3275fede718e1c6af4694,sql,SQL,programming_language
15bc44132e0f0c66fbbe825124a0e8fd8ed3e090e6c3275fede718e1c6af4694,azure,Microsoft Azure,cloud
d0e054947a44018ca4b42a0656cae028987e6b6c18b9a3f900ca6332399e0ec6,excel,Excel,productivity
d0e054947a44018ca4b42a0656cae028987e6b6c18b9a3f900ca6332399e0ec6,git,Git,version_control
d0e054947a44018ca4b42a0656cae028987e6b6c18b9a3f900ca6332399e0ec6,azure,Microsoft Azure,cloud
d0e054947a44018ca4b42a0656cae028987e6b6c18b9a3f900ca6332399e0ec6,power_bi,Power BI,bi_tool
d0e054947a44018ca4b42a0656cae028987e6b6c18b9a3f900ca6332399e0ec6,sql,SQL,programming_language
fcdab08485b6d8bd4a679f1a2ea01e3351a037cef12c472a1ef8e18ce2ec9ed2,azure,Microsoft Azure,cloud
fcdab08485b6d8bd4a679f1a2ea01e3351a037cef12c472a1ef8e18ce2ec9ed2,excel,Excel,productivity
fcdab08485b6d8bd4a679f1a2ea01e3351a037cef12c472a1ef8e18ce2ec9ed2,sql,SQL,programming_language
fcdab08485b6d8bd4a679f1a2ea01e3351a037cef12c472a1ef8e18ce2ec9ed2,tableau,Tableau,bi_tool
fcdab08485b6d8bd4a679f1a2ea01e3351a037cef12c472a1ef8e18ce2ec9ed2,power_bi,Power BI,bi_tool
fcdab08485b6d8bd4a679f1a2ea01e3351a037cef12c472a1ef8e18ce2ec9ed2,git,Git,version_control
7d723d3247b065d4dd02fa0d2b0a1d172a1d72142aa906141b17dd0412922f30,agile,Agile,methodology
7d723d3247b065d4dd02fa0d2b0a1d172a1d72142aa906141b17dd0412922f30,azure,Microsoft Azure,cloud
7d723d3247b065d4dd02fa0d2b0a1d172a1d72142aa906141b17dd0412922f30,qlik,Qlik,bi_tool
1817308d28631db9e6f29c7bd3bdfd637fbf2102f731f69dbf43a3e116c2ff87,sql,SQL,programming_language
1817308d28631db9e6f29c7bd3bdfd637fbf2102f731f69dbf43a3e116c2ff87,azure,Microsoft Azure,cloud
1817308d28631db9e6f29c7bd3bdfd637fbf2102f731f69dbf43a3e116c2ff87,agile,Agile,methodology
1817308d28631db9e6f29c7bd3bdfd637fbf2102f731f69dbf43a3e116c2ff87,excel,Excel,productivity
e384644e393497c2140156fd478283d42441b4182ce0811eafde8d229e22db93,excel,Excel,productivity
e384644e393497c2140156fd478283d42441b4182ce0811eafde8d229e22db93,qlik,Qlik,bi_tool
e384644e393497c2140156fd478283d42441b4182ce0811eafde8d229e22db93,power_bi,Power BI,bi_tool
e384644e393497c2140156fd478283d42441b4182ce0811eafde8d229e22db93,tableau,Tableau,bi_tool
e384644e393497c2140156fd478283d42441b4182ce0811eafde8d229e22db93,azure,Microsoft Azure,cloud
e8954f2b32ce710f2ee70dabf577b396cf6bef74bff1c344bb2493582ef24d24,agile,Agile,methodology
e8954f2b32ce710f2ee70dabf577b396cf6bef74bff1c344bb2493582ef24d24,excel,Excel,productivity
e8954f2b32ce710f2ee70dabf577b396cf6bef74bff1c344bb2493582ef24d24,power_bi,Power BI,bi_tool
e8954f2b32ce710f2ee70dabf577b396cf6bef74bff1c344bb2493582ef24d24,azure,Microsoft Azure,cloud
e8954f2b32ce710f2ee70dabf577b396cf6bef74bff1c344bb2493582ef24d24,tableau,Tableau,bi_tool
e8954f2b32ce710f2ee70dabf577b396cf6bef74bff1c344bb2493582ef24d24,qlik,Qlik,bi_tool
82fbb70d1f29fd803d7d5ea4fa0461fb1a281e1eb8f0346f764b1c3dfffdf4a9,tableau,Tableau,bi_tool
82fbb70d1f29fd803d7d5ea4fa0461fb1a281e1eb8f0346f764b1c3dfffdf4a9,excel,Excel,productivity
82fbb70d1f29fd803d7d5ea4fa0461fb1a281e1eb8f0346f764b1c3dfffdf4a9,qlik,Qlik,bi_tool
160f7c2429431e08a5774b440cd4650b41e47efcc6b39a66ef4ab0c773d46412,excel,Excel,productivity
160f7c2429431e08a5774b440cd4650b41e47efcc6b39a66ef4ab0c773d46412,power_bi,Power BI,bi_tool
160f7c2429431e08a5774b440cd4650b41e47efcc6b39a66ef4ab0c773d46412,azure,Microsoft Azure,cloud
160f7c2429431e08a5774b440cd4650b41e47efcc6b39a66ef4ab0c773d46412,qlik,Qlik,bi_tool
631568f869ea4de8f7b4deea275292c66112df54fce8803b82c680d79114c6b3,sql,SQL,programming_language
631568f869ea4de8f7b4deea275292c66112df54fce8803b82c680d79114c6b3,agile,Agile,methodology
631568f869ea4de8f7b4deea275292c66112df54fce8803b82c680d79114c6b3,power_bi,Power BI,bi_tool
631568f869ea4de8f7b4deea275292c66112df54fce8803b82c680d79114c6b3,qlik,Qlik,bi_tool
631568f869ea4de8f7b4deea275292c66112df54fce8803b82c680d79114c6b3,tableau,Tableau,bi_tool
32547e13e4cf00fae25671025ef142b5291f9110ef7f64baa7077042c54b8c88,excel,Excel,productivity
32547e13e4cf00fae25671025ef142b5291f9110ef7f64baa7077042c54b8c88,sql,SQL,programming_language
32547e13e4cf00fae25671025ef142b5291f9110ef7f64baa7077042c54b8c88,azure,Microsoft Azure,cloud
32547e13e4cf00fae25671025ef142b5291f9110ef7f64baa7077042c54b8c88,power_bi,Power BI,bi_tool
32547e13e4cf00fae25671025ef142b5291f9110ef7f64baa7077042c54b8c88,tableau,Tableau,bi_tool
32547e13e4cf00fae25671025ef142b5291f9110ef7f64baa7077042c54b8c88,agile,Agile,methodology
